"Country","Date","Day","Atual.Cases","Expacted.Cases"
"India","30/01/20",1,1,2
"India","31/01/20",2,1,3
"India","01/02/20",3,2,3
"India","02/02/20",4,3,3
"India","03/02/20",5,3,4
"India","04/02/20",6,3,5
"India","05/02/20",7,3,5
"India","06/02/20",8,3,6
"India","07/02/20",9,3,7
"India","08/02/20",10,3,7
"India","09/02/20",11,3,8
"India","10/02/20",12,3,9
"India","11/02/20",13,3,11
"India","12/02/20",14,3,12
"India","13/02/20",15,3,13
"India","14/02/20",16,3,15
"India","15/02/20",17,3,16
"India","16/02/20",18,3,19
"India","17/02/20",19,3,21
"India","18/02/20",20,3,24
"India","19/02/20",21,3,27
"India","20/02/20",22,3,29
"India","21/02/20",23,3,32
"India","22/02/20",24,3,39
"India","23/02/20",25,3,44
"India","24/02/20",26,3,49
"India","25/02/20",27,3,55
"India","26/02/20",28,3,61
"India","27/02/20",29,3,66
"India","28/02/20",30,3,77
"India","29/02/20",31,3,88
"India","01/03/20",32,3,99
"India","02/03/20",33,5,110
"India","03/03/20",34,6,121
"India","04/03/20",35,28,132
"India","05/03/20",36,30,153
"India","06/03/20",37,31,175
"India","07/03/20",38,34,197
"India","08/03/20",39,39,218
"India","09/03/20",40,46,240
"India","10/03/20",41,58,262
"India","11/03/20",42,60,306
"India","12/03/20",43,74,349
"India","13/03/20",44,81,393
"India","14/03/20",45,84,437
"India","15/03/20",46,110,480
"India","16/03/20",47,114,524
"India","17/03/20",48,137,611
"India","18/03/20",49,151,699
"India","19/03/20",50,173,786
"India","20/03/20",51,223,873
"India","21/03/20",52,283,961
"India","22/03/20",53,360,1048
"India","23/03/20",54,433,1223
"India","24/03/20",55,519,1397
"India","25/03/20",56,NA,1572
"India","26/03/20",57,NA,1747
"India","27/03/20",58,NA,1921
"India","28/03/20",59,NA,2096
"India","29/03/20",60,NA,2445
"India","30/03/20",61,NA,2795
"India","31/03/20",62,NA,3144
"India","01/04/20",63,NA,3493
"India","02/04/20",64,NA,3843
"India","03/04/20",65,NA,4192
"India","04/04/20",66,NA,4891
"India","05/04/20",67,NA,5589
"India","06/04/20",68,NA,6288
"India","07/04/20",69,NA,6987
"India","08/04/20",70,NA,7685
"India","09/04/20",71,NA,8384
"India","10/04/20",72,NA,9781
"India","11/04/20",73,NA,11179
