"State","30/01/20","31/01/20","01/02/20","02/02/20","03/02/20","04/02/20","05/02/20","06/02/20","07/02/20","08/02/20","09/02/20","10/02/20","11/02/20","12/02/20","13/02/20","14/02/20","15/02/20","16/02/20","17/02/20","18/02/20","19/02/20","20/02/20","21/02/20","22/02/20","23/02/20","24/02/20","25/02/20","26/02/20","27/02/20","28/02/20","29/02/20","01/03/20","02/03/20","03/03/20","04/03/20","05/03/20","06/03/20","07/03/20","08/03/20","09/03/20","10/03/20","11/03/20","12/03/20","13/03/20","14/03/20","15/03/20","16/03/20","17/03/20","18/03/20","19/03/20","20/03/20","21/03/20","22/03/20","23/03/20","24/03/20","25/03/20","26/03/20","27/03/20","28/03/20","29/03/20","30/03/20","31/03/20","01/04/20","02/04/20","03/04/20","04/04/20","05/04/20","06/04/20","07/04/20","08/04/20","09/04/20","10/04/20","11/04/20","12/04/20","13/04/20","14/04/20","15/04/20","16/04/20","17/04/20","18/04/20","19/04/20","20/04/20","21/04/20","22/04/20","23/04/20","24/04/20","25/04/20","26/04/20","27/04/20","28/04/20","29/04/20","30/04/20","01/05/20","02/05/20","03/05/20","04/05/20","05/05/20","06/05/20","07/05/20","08/05/20","09/05/20","10/05/20","11/05/20","12/05/20","13/05/20","14/05/20","15/05/20","16/05/20","17/05/20","18/05/20","19/05/20","20/05/20","21/05/20","22/05/20","23/05/20","24/05/20","25/05/20","26/05/20","27/05/20","28/05/20","29/05/20","30/05/20","31/05/20","01/06/20","02/06/20","03/06/20","04/06/20","05/06/20","06/06/20","07/06/20","08/06/20","09/06/20","10/06/20","11/06/20","12/06/20","13/06/20","14/06/20","15/06/20","16/06/20","17/06/20","18/06/20","19/06/20","20/06/20","21/06/20","22/06/20","23/06/20","24/06/20","25/06/20","26/06/20","27/06/20","28/06/20","29/06/20","30/06/20","01/07/20","02/07/20"
"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,15,15,16,16,16,17,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,36,37,37,40,43,43,43,43,45,46,50,50
"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,11,11,11,14,16,20,36,42,42,92,96,120,141,145,171,231,235,258,287,287,321,403,441,488,524,589,589,729,780,842,887,975,1056,1142,1192,1252,1353,1353,1552,1552,1640,1709,1709,1809,1856,1896,2009,2057,2057,2226,2289,2349,2378,2421,2466,2539,2576,2620,2682,2745,2802,2899,3048,3105,3195,3314,3316,3509,3641,3789,3917,4111,4331,4495,4599,4779,4988,5196,5480,5908,6232,6511,6988
"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,7,7,7,7,10,11,14,15,21,22,38,38,42,54,60,61,62,66
"Assam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,12,19,19,19,19,19,19,27,27,27,27,29,29,29,32,32,32,32,32,32,34,34,34,34,39,39,39,41,41,41,41,41,48,54,54,55,55,62,62,87,87,125,163,185,277,324,413,442,498,547,615,665,1085,1249,1432,1537,1584,1960,2166,2166,2642,2654,3039,3039,3360,3521,3762,3958,4033,4259,4500,5088,5333,5647,5851
"Bihar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,26,29,29,37,37,37,42,42,46,46,46,46,56,56,57,64,65,82,82,98,117,125,130,142,188,246,297,322,377,383,388,411,438,453,453,494,494,571,593,593,653,702,749,900,1083,1083,1211,1618,1710,1900,1946,2077,2210,2225,2425,2480,2499,2864,3071,3266,3587,3956,4170,4409,4644,4926,5056,5098,5529,5580,5781,6104,6113,6441,6762,6843,7118,7390,7687,7946
"Chandigarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,9,10,10,13,13,14,14,14,15,17,17,17,17,17,17,17,17,19,19,21,21,21,21,21,24,24,28,28,37,37,51,51,54,54,57,139,139,179,186,186,187,187,187,189,189,199,199,214,214,214,222,273,273,273,286,286,286,286,286,293,296,302,303,306,315,316,316,322,322,323,329,335,335,336,349,364,367
"Chhattisgarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,8,9,9,9,9,9,10,10,10,13,17,24,24,24,25,25,26,28,30,30,32,32,32,34,34,36,36,36,36,36,36,36,36,38,38,43,53,54,55,56,56,56,56,59,59,59,59,59,64,67,72,79,83,83,100,102,115,122,130,188,213,244,266,283,308,386,402,447,550,631,763,890,1036,1180,1228,1331,1394,1447,1513,1553,1627,1755,1914,1914,2091,2173,2250,2303
"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5,9,12,13,14,26,26,27,29,30,32,41,55,60,77,82,86
"Delhi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,5,5,5,5,6,6,6,6,6,6,6,6,6,8,8,15,18,19,21,21,21,25,25,25,27,30,30,42,72,72,72,431,431,611,808,857,857,877,877,877,1078,1092,1094,1094,1167,1256,1362,1431,1468,1542,1931,2020,2020,2129,2512,2858,3045,3518,3926,3926,4485,4485,5192,5567,5567,6267,6540,6771,7223,7264,7264,7846,8075,8478,8746,9243,9542,9898,10315,10664,10999,11357,11861,12245,12731,13398,14945,15823,16427,16500,17457,21341,23569,31294,33013,36602,39313,41437,44765,47091,49301,52607,56235,58348,59992
"Goa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,19,19,28,37,37,41,41,42,42,57,57,57,65,65,65,67,67,67,67,69,70,74,85,85,96,109,118,129,129,152,205,289,335,370,420,478,478,596,670
"Gujarat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,10,14,18,22,25,25,25,26,31,44,47,55,59,64,86,93,94,131,131,144,258,265,265,313,313,394,434,527,613,613,735,896,1042,1195,1381,1500,1709,1872,2091,2780,3246,3562,3753,4035,4308,4308,4804,4804,5219,5488,5488,6169,6412,6636,7139,7549,7549,8611,9230,9919,10780,11894,12212,12667,13003,13316,13635,13956,14365,14735,15101,15493,15883,16325,16664,17082,17430,17819,18159,18694,19349,19909,20513,21088,21498,22030,22409,22800,23240,23662,24030
"Haryana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,12,17,18,21,21,21,24,24,25,25,25,28,29,29,29,29,29,34,34,43,43,43,87,127,127,127,156,156,156,176,176,183,209,209,209,209,227,227,245,254,256,260,260,279,290,337,342,418,439,439,514,514,598,598,648,681,681,750,765,765,824,838,838,940,971,1048,1055,1069,1089,2134,2134,2134,2134,2134,2134,2188,2260,2475,2803,3003,3565,3748,3952,4556,4889,5128,5557,5916,6498,6925,7380,8016,8472,8917,9502,9972,10499
"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,6,6,6,13,13,13,16,16,16,16,16,16,16,18,18,18,22,22,22,25,25,28,28,30,33,34,38,38,38,38,38,38,39,39,39,39,39,43,43,44,44,54,59,59,61,63,67,67,70,70,87,111,120,122,140,150,179,189,194,224,227,249,254,280,297,313,337,353,372,372,382,388,413,425,437,443,466,477,502,509,529,556,580,614
"Jammu and Kashmir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,6,6,6,6,16,30,36,42,51,51,71,71,81,92,109,109,137,137,164,176,192,216,216,247,254,287,303,320,322,335,364,368,427,455,466,485,513,542,542,609,609,678,684,684,774,809,809,833,854,854,875,908,927,946,953,1007,1048,1086,1126,1216,1324,1506,1671,1820,2086,2269,2389,2604,2781,2914,3144,3194,3336,3382,3531,3642,3818,3967,4080,4225,4316,4585,4722,4856
"Jharkhand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,13,13,17,19,19,20,20,20,22,22,27,33,37,41,52,78,78,79,79,87,87,113,113,113,113,127,129,129,141,148,148,175,185,185,216,256,256,296,320,321,354,410,473,490,519,559,592,630,672,816,905,905,1121,1151,1198,1332,1335,1406,1469,1520,1570,1605,1643,1724,1793,1845,1884,1931
