"Country","Date","Day","Confirmed","New Cases","Doubles In","Deaths","Recovered","Active.Cases","Closed.Cases","Death.Rate"
"India","30/01/2020",1,1,1,0,0,0,1,0,0
"India","31/01/2020",2,1,0,0,0,0,1,0,0
"India","01/02/2020",3,2,1,2,0,0,2,0,0
"India","02/02/2020",4,3,1,1,0,0,3,0,0
"India","03/02/2020",5,3,0,2,0,0,3,0,0
"India","04/02/2020",6,3,0,3,0,0,3,0,0
"India","05/02/2020",7,3,0,4,0,0,3,0,0
"India","06/02/2020",8,3,0,5,0,0,3,0,0
"India","07/02/2020",9,3,0,6,0,0,3,0,0
"India","08/02/2020",10,3,0,7,0,0,3,0,0
"India","09/02/2020",11,3,0,8,0,0,3,0,0
"India","10/02/2020",12,3,0,9,0,0,3,0,0
"India","11/02/2020",13,3,0,10,0,0,3,0,0
"India","12/02/2020",14,3,0,11,0,0,3,0,0
"India","13/02/2020",15,3,0,12,0,0,3,0,0
"India","14/02/2020",16,3,0,13,0,0,3,0,0
"India","15/02/2020",17,3,0,14,0,0,3,0,0
"India","16/02/2020",18,3,0,15,0,0,3,0,0
"India","17/02/2020",19,3,0,16,0,0,3,0,0
"India","18/02/2020",20,3,0,17,0,0,3,0,0
"India","19/02/2020",21,3,0,18,0,0,3,0,0
"India","20/02/2020",22,3,0,19,0,0,3,0,0
"India","21/02/2020",23,3,0,20,0,0,3,0,0
"India","22/02/2020",24,3,0,21,0,0,3,0,0
"India","23/02/2020",25,3,0,22,0,0,3,0,0
"India","24/02/2020",26,3,0,23,0,0,3,0,0
"India","25/02/2020",27,3,0,24,0,0,3,0,0
"India","26/02/2020",28,3,0,25,0,0,3,0,0
"India","27/02/2020",29,3,0,26,0,0,3,0,0
"India","28/02/2020",30,3,0,27,0,0,3,0,0
"India","29/02/2020",31,3,0,28,0,0,3,0,0
"India","01/03/2020",32,3,0,29,0,0,3,0,0
"India","02/03/2020",33,5,2,29,0,0,5,0,0
"India","03/03/2020",34,6,1,30,0,3,3,3,0
"India","04/03/2020",35,28,22,1,0,3,25,3,0
"India","05/03/2020",36,30,2,2,0,3,27,3,0
"India","06/03/2020",37,31,1,3,0,3,28,3,0
"India","07/03/2020",38,34,3,3,0,3,31,3,0
"India","08/03/2020",39,39,5,4,0,3,36,3,0
"India","09/03/2020",40,46,7,5,0,3,43,3,0
"India","10/03/2020",41,58,12,5,0,3,55,3,0
"India","11/03/2020",42,60,2,6,0,3,57,3,0
"India","12/03/2020",43,74,14,4,0,3,71,3,0
"India","13/03/2020",44,81,7,5,1,3,77,4,1.23
"India","14/03/2020",45,84,3,6,2,10,72,12,2.38
"India","15/03/2020",46,110,26,5,2,13,95,15,1.82
"India","16/03/2020",47,114,4,6,2,13,99,15,1.75
"India","17/03/2020",48,137,23,5,3,14,120,17,2.19
"India","18/03/2020",49,151,14,6,3,14,134,17,1.99
"India","19/03/2020",50,173,22,5,4,20,149,24,2.31
"India","20/03/2020",51,223,50,5,4,23,196,27,1.79
"India","21/03/2020",52,283,60,4,4,23,256,27,1.41
"India","22/03/2020",53,360,77,3,7,24,329,31,1.94
"India","23/03/2020",54,433,73,3,7,24,402,31,1.62
"India","24/03/2020",55,519,86,3,9,40,470,49,1.73
"India","25/03/2020",56,606,87,4,10,43,553,53,1.65
"India","26/03/2020",57,694,88,4,15,45,634,60,2.16
"India","27/03/2020",58,724,30,5,17,67,640,84,2.35
"India","28/03/2020",59,909,185,5,19,80,810,99,2.09
"India","29/03/2020",60,1024,115,5,27,96,901,123,2.64
"India","30/03/2020",61,1205,181,5,31,102,1072,133,2.57
"India","31/03/2020",62,1359,154,5,35,124,1200,159,2.58
"India","01/04/2020",63,1834,475,4,41,144,1649,185,2.24
"India","02/04/2020",64,2069,235,4,53,156,1860,209,2.56
"India","03/04/2020",65,2470,401,4,62,163,2245,225,2.51
"India","04/04/2020",66,3072,602,4,75,213,2784,288,2.44
"India","05/04/2020",67,3577,505,4,83,275,3219,358,2.32
"India","06/04/2020",68,4281,704,4,111,319,3851,430,2.59
"India","07/04/2020",69,4789,508,4,124,353,4312,477,2.59
"India","08/04/2020",70,5274,485,5,149,411,4714,560,2.83
"India","09/04/2020",71,5865,591,5,169,478,5218,647,2.88
"India","10/04/2020",72,6761,896,5,206,516,6039,722,3.05
"India","11/04/2020",73,7529,768,6,242,653,6634,895,3.21
"India","12/04/2020",74,8447,918,6,273,765,7409,1038,3.23
"India","13/04/2020",75,9352,905,6,324,980,8048,1304,3.46
"India","14/04/2020",76,10815,1463,6,353,1190,9272,1543,3.26
"India","15/04/2020",77,11933,1118,6,392,1344,10197,1736,3.29
"India","16/04/2020",78,12759,826,6,420,1515,10824,1935,3.29
"India","17/04/2020",79,14378,1619,6,480,1992,11906,2472,3.34
"India","18/04/2020",80,15712,1334,7,507,2231,12974,2738,3.23
"India","19/04/2020",81,16116,404,7,519,2302,13295,2821,3.22
"India","20/04/2020",82,18601,2485,7,590,3252,14759,3842,3.17
