"State","X30.01.20","X31.01.20","X01.02.20","X02.02.20","X03.02.20","X04.02.20","X05.02.20","X06.02.20","X07.02.20","X08.02.20","X09.02.20","X10.02.20","X11.02.20","X12.02.20","X13.02.20","X14.02.20","X15.02.20","X16.02.20","X17.02.20","X18.02.20","X19.02.20","X20.02.20","X21.02.20","X22.02.20","X23.02.20","X24.02.20","X25.02.20","X26.02.20","X27.02.20","X28.02.20","X29.02.20","X01.03.20","X02.03.20","X03.03.20","X04.03.20","X05.03.20","X06.03.20","X07.03.20","X08.03.20","X09.03.20","X10.03.20","X11.03.20","X12.03.20","X13.03.20","X14.03.20","X15.03.20","X16.03.20","X17.03.20","X18.03.20","X19.03.20","X20.03.20","X21.03.20","X22.03.20","X23.03.20","X24.03.20","X25.03.20","X26.03.20","X27.03.20","X28.03.20","X29.03.20","X30.03.20","X31.03.20","X01.04.20","X02.04.20","X03.04.20","X04.04.20","X05.04.20","X06.04.20","X07.04.20","X08.04.20","X09.04.20","X10.04.20","X11.04.20","X12.04.20","X13.04.20","X14.04.20","X15.04.20","X16.04.20","X17.04.20","X18.04.20","X19.04.20","X20.04.20","X21.04.20","X22.04.20","X23.04.20","X24.04.20","X25.04.20","X26.04.20","X27.04.20","X28.04.20","X29.04.20","X30.04.20","X01.05.20","X02.05.20","X03.05.20","X04.05.20","X05.05.20","X06.05.20","X07.05.20","X08.05.20","X09.05.20","X10.05.20","X11.05.20","X12.05.20","X13.05.20","X14.05.20","X16.05.20","X17.05.20","X18.05.20","X19.05.20","X20.05.20","X21.05.20","X22.05.20","X23.05.20","X24.05.20","X26.05.20","X27.05.20"
"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,14,14,16,16,17,22,27,27,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,5,7,8,9,11,12,14,19,23,40,83,86,132,161,190,226,266,305,348,363,381,381,432,473,503,534,572,603,603,722,757,813,895,955,1061,1097,1177,1259,1332,1332,1403,1463,1525,1583,1650,1717,1717,1777,1847,1887,1930,2018,2090,2137,2205,2355,2355,2474,2474,2602,2647,2647,2757,2823,3110
"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Assam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,24,26,26,26,27,28,29,29,29,31,31,33,33,35,35,35,35,35,35,36,36,36,36,36,38,38,38,42,42,43,43,43,43,43,45,54,59,63,65,65,80,87,92,92,107,107,170,203,203,329,378,526
"Bihar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,6,6,9,11,15,15,23,24,29,30,30,32,32,38,39,60,60,64,64,66,70,74,83,86,86,113,114,126,153,223,228,274,277,346,383,392,418,426,471,482,517,529,536,542,550,571,591,747,831,940,994,1179,1179,1391,1391,1674,1982,1982,2380,2587,2730
"Chandigarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,7,7,7,7,8,8,8,13,16,16,18,18,18,18,18,18,18,18,18,19,21,21,21,21,21,23,23,26,26,27,27,27,28,30,30,40,56,56,56,56,88,94,94,102,111,120,135,150,169,174,187,187,191,191,191,196,196,202,217,217,225,238,238
"Chhattisgarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6,6,6,7,7,8,9,9,9,9,9,10,10,10,10,10,18,25,31,31,33,33,36,36,36,36,36,36,36,36,36,37,37,37,38,38,40,40,43,43,57,58,59,59,59,59,59,59,59,59,60,67,67,93,93,115,128,128,214,252,291
"Dadar Nagar Haveli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
"Delhi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,5,6,6,7,7,7,8,10,12,17,26,29,29,30,31,36,36,39,49,87,97,152,219,219,445,503,523,576,576,669,898,903,1069,1154,1510,1561,1578,1707,1893,1893,2081,2081,2156,2376,2514,2514,2918,2918,3108,3314,3439,3515,3515,3738,4122,4549,4898,5104,5532,5980,6318,6542,7233,7639,7998,8470,9333,9333,10054,10054,11088,11659,11659,12910,13418,14053
"Goa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,17,17,38,38,50,52,52,55,66,67
