"Country","Date","Day","Confirmed.Indians","Confirmed.Foreigners","Total.Confirmed","New Cases","Doubles In","Deaths","Recovered","Active.Cases","Closed.Cases","Death.Rate"
"India","31/01/2020",1,1,0,1,1,0,0,0,1,0,0
"India","01/02/2020",2,1,0,1,0,0,0,0,1,0,0
"India","02/02/2020",3,2,0,2,1,2,0,0,2,0,0
"India","03/02/2020",4,3,0,3,1,1,0,0,3,0,0
"India","04/02/2020",5,3,0,3,0,2,0,0,3,0,0
"India","05/02/2020",6,3,0,3,0,3,0,0,3,0,0
"India","06/02/2020",7,3,0,3,0,4,0,0,3,0,0
"India","07/02/2020",8,3,0,3,0,5,0,0,3,0,0
"India","08/02/2020",9,3,0,3,0,6,0,0,3,0,0
"India","09/02/2020",10,3,0,3,0,7,0,0,3,0,0
"India","10/02/2020",11,3,0,3,0,8,0,0,3,0,0
"India","11/02/2020",12,3,0,3,0,9,0,0,3,0,0
"India","12/02/2020",13,3,0,3,0,10,0,0,3,0,0
"India","13/02/2020",14,3,0,3,0,11,0,0,3,0,0
"India","14/02/2020",15,3,0,3,0,12,0,0,3,0,0
"India","15/02/2020",16,3,0,3,0,13,0,0,3,0,0
"India","16/02/2020",17,3,0,3,0,14,0,0,3,0,0
"India","17/02/2020",18,3,0,3,0,15,0,0,3,0,0
"India","18/02/2020",19,3,0,3,0,16,0,0,3,0,0
"India","19/02/2020",20,3,0,3,0,17,0,0,3,0,0
"India","20/02/2020",21,3,0,3,0,18,0,0,3,0,0
"India","21/02/2020",22,3,0,3,0,19,0,0,3,0,0
"India","22/02/2020",23,3,0,3,0,20,0,0,3,0,0
"India","23/02/2020",24,3,0,3,0,21,0,0,3,0,0
"India","24/02/2020",25,3,0,3,0,22,0,0,3,0,0
"India","25/02/2020",26,3,0,3,0,23,0,0,3,0,0
"India","26/02/2020",27,3,0,3,0,24,0,0,3,0,0
"India","27/02/2020",28,3,0,3,0,25,0,0,3,0,0
"India","28/02/2020",29,3,0,3,0,26,0,0,3,0,0
"India","29/02/2020",30,3,0,3,0,27,0,0,3,0,0
"India","01/03/2020",31,3,0,3,0,28,0,0,3,0,0
"India","02/03/2020",32,3,0,3,0,29,0,0,3,0,0
"India","03/03/2020",33,5,0,5,2,29,0,0,5,0,0
"India","04/03/2020",34,5,1,6,1,30,0,3,3,3,0
"India","05/03/2020",35,12,16,28,22,1,0,3,25,3,0
"India","06/03/2020",36,14,16,30,2,2,0,3,27,3,0
"India","07/03/2020",37,15,16,31,1,3,0,3,28,3,0
"India","08/03/2020",38,18,16,34,3,3,0,3,31,3,0
"India","09/03/2020",39,23,16,39,5,4,0,3,36,3,0
"India","10/03/2020",40,30,16,46,7,5,0,3,43,3,0
"India","11/03/2020",41,42,16,58,12,5,0,3,55,3,0
"India","12/03/2020",42,44,16,60,2,6,0,3,57,3,0
"India","13/03/2020",43,57,17,74,14,4,0,3,71,3,0
"India","14/03/2020",44,64,17,81,7,5,1,3,77,4,1.23
"India","15/03/2020",45,67,17,84,3,6,2,10,72,12,2.38
"India","16/03/2020",46,93,17,110,26,5,2,13,95,15,1.82
"India","17/03/2020",47,97,17,114,4,6,2,13,99,15,1.75
"India","18/03/2020",48,113,24,137,23,5,3,14,120,17,2.19
"India","19/03/2020",49,126,25,151,14,6,3,14,134,17,1.99
"India","20/03/2020",50,148,25,173,22,5,4,20,149,24,2.31
"India","21/03/2020",51,191,32,223,50,5,4,23,196,27,1.79
"India","22/03/2020",52,244,39,283,60,4,4,23,256,27,1.41
"India","23/03/2020",53,319,41,360,77,3,7,24,329,31,1.94
"India","24/03/2020",54,393,40,433,73,3,7,24,402,31,1.62
"India","25/03/2020",55,476,43,519,86,3,9,40,470,49,1.73
"India","26/03/2020",56,563,43,606,87,4,10,43,553,53,1.65
"India","27/03/2020",57,647,47,694,88,4,15,45,634,60,2.16
"India","28/03/2020",58,677,47,724,30,5,17,67,640,84,2.35
