"State","Date","Day","Confirmed.Indians","Confirmed.Foreigners","Total.Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases","Death.Rate"
"Andaman and Nicobar Islands","31/01/2020",1,0,0,0,0,0,0,0,0
"Andhra Pradesh","31/01/2020",1,0,0,0,0,0,0,0,0
"Bihar","31/01/2020",1,0,0,0,0,0,0,0,0
"Chandigarh","31/01/2020",1,0,0,0,0,0,0,0,0
"Chhattisgarh","31/01/2020",1,0,0,0,0,0,0,0,0
"Delhi","31/01/2020",1,0,0,0,0,0,0,0,0
"Goa","31/01/2020",1,0,0,0,0,0,0,0,0
"Gujarat","31/01/2020",1,0,0,0,0,0,0,0,0
"Haryana","31/01/2020",1,0,0,0,0,0,0,0,0
"Himachal Pradesh","31/01/2020",1,0,0,0,0,0,0,0,0
"Jammu and Kashmir","31/01/2020",1,0,0,0,0,0,0,0,0
"Karnataka","31/01/2020",1,0,0,0,0,0,0,0,0
"Kerala","31/01/2020",1,1,0,1,0,0,1,0,0
"Ladakh","31/01/2020",1,0,0,0,0,0,0,0,0
"Madhya Pradesh","31/01/2020",1,0,0,0,0,0,0,0,0
"Maharashtra","31/01/2020",1,0,0,0,0,0,0,0,0
"Manipur","31/01/2020",1,0,0,0,0,0,0,0,0
"Mizoram","31/01/2020",1,0,0,0,0,0,0,0,0
"Odisha","31/01/2020",1,0,0,0,0,0,0,0,0
"Puducherry","31/01/2020",1,0,0,0,0,0,0,0,0
"Punjab","31/01/2020",1,0,0,0,0,0,0,0,0
"Rajasthan","31/01/2020",1,0,0,0,0,0,0,0,0
"Tamil Nadu","31/01/2020",1,0,0,0,0,0,0,0,0
"Telengana","31/01/2020",1,0,0,0,0,0,0,0,0
"Uttar Pradesh","31/01/2020",1,0,0,0,0,0,0,0,0
"Uttarakhand","31/01/2020",1,0,0,0,0,0,0,0,0
"West Bengal","31/01/2020",1,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","01/02/2020",2,0,0,0,0,0,0,0,0
"Andhra Pradesh","01/02/2020",2,0,0,0,0,0,0,0,0
"Bihar","01/02/2020",2,0,0,0,0,0,0,0,0
"Chandigarh","01/02/2020",2,0,0,0,0,0,0,0,0
"Chhattisgarh","01/02/2020",2,0,0,0,0,0,0,0,0
"Delhi","01/02/2020",2,0,0,0,0,0,0,0,0
"Goa","01/02/2020",2,0,0,0,0,0,0,0,0
"Gujarat","01/02/2020",2,0,0,0,0,0,0,0,0
